[General]
2FAHeader|2단계 인증
2FALabel|2단계 인증 코드 입력
AddCommentWithRatingLabel|작성자 평가하기 (선택)
AddTagPlaceHolderText|태그 추가...
AddTagText|추가
AllText|전체
ConfirmAgeCheckboxLabel|만 18세 이상입니다
ConfirmPasswordFieldLabel|비밀번호 확인
ContentWarningText|온라인 상호작용 및 사용자 생성 콘텐츠 (ESRB 미평가)
CreateDesignPresetHeader|디자인 프리셋 만들기
CreateGroupPresetHeader|그룹 프리셋 만들기
CreateText|생성
CustomStoriesHeader|커스텀 스토리
DeleteDesignPopupHeader|디자인을 정말 삭제할까요?
DeleteDesignSuccessfulDisclaimer|디자인 삭제 완료!
DeleteDesignSuccessfulHeader|디자인 삭제 성공
DeleteDesignText|삭제
DeleteDesignUnSuccessfulDisclaimer|디자인 삭제 실패. 다시 시도해 주세요.
DeleteDesignUnSuccessfulHeader|디자인 삭제 실패
DeleteDisclaimer|삭제 시 복구할 수 없습니다!
DeleteText|삭제
DesignByLabel|디자인 제작자:
DesignDownloadErrorContent|디자인 다운로드 중 오류 발생! 다시 시도해 주세요. 디자인 ID:
DesignDownloadErrorHeader|디자인 다운로드 오류
DesignMissingTitleDisclaimer|디자인 제목을 입력해 주세요.
DesignMissingTitleHeader|제목 빈칸
DesignTitleTakenDisclaimer|이미 같은 제목으로 디자인을 공유하셨습니다. 다른 제목을 사용해 주세요.
DesignTitleTakenHeader|제목 중복
DesignUploadSuccessfulDisclaimer|디자인 업로드 성공! ‘공유 디자인’에서 확인할 수 있습니다. 친구들이 Eek 계정명이나 디자인 ID로 찾을 수 있어요.
DesignUploadSuccessfulHeader|업로드 성공
DesignUploadUnSuccessfulDisclaimer|디자인 업로드 실패. 다시 시도해 주세요.
DesignUploadUnSuccessfulHeader|업로드 실패
DownloadedDesignsTab|다운로드 완료
DownloadedText|다운로드됨
DownloadsLabel|다운로드:
DownloadText|다운로드
DuplicateRatingsDisclaimer|(재평가는 이전 평가를 덮어씁니다)
EmailFieldLabel|이메일
Enter2FAPromptText|2단계 인증 코드를 입력해 주세요:
EnterDescriptionPlaceholderText|설명 입력...
ESRBUserGeneratedDisclaimer|ESRB 미평가 온라인 상호작용 및 사용자 생성 콘텐츠
ForgotPasswordLink|비밀번호 찾기
ForumLinkForStory|포럼에서 이 스토리 보기
GenericErrorHeader|문제 발생...
GetDesignSuccessfulHeader|다운로드 성공
GetDesignUnSuccessfulDisclaimer|디자인 다운로드 실패. 다시 시도해 주세요.
GetDesignUnSuccessfulHeader|다운로드 실패
HideDesignsICantUseLabel|사용 불가 디자인 숨기기
HideText|숨기기
IncludeNSFWDesignsLabel|성인용(NSFW) 디자인 포함
InstallButton|설치
InstallStoryButtonText|설치
LastUpdatedLabel|최근 업데이트:
LoggedInAsHeader|로그인 사용자:
LogInHeader|로그인
LoginStatusBadRequestContent|로그인 요청을 인식하지 못했습니다. 사용자명과 비밀번호를 확인하거나 이메일 인증을 완료했는지 확인하세요.
LoginStatusBadRequestHeader|잘못된 요청
LoginStatusExpiredOrUnauthorizedContent|로그인 권한이 만료되었거나 인증되지 않았습니다. 다시 로그인해 주세요.
LoginStatusExpiredOrUnauthorizedHeader|다시 로그인
LoginStatusServerNotFoundContent|서버에 연결할 수 없습니다. 잠시 후 다시 시도하거나 게임을 최신 버전으로 업데이트하세요.
LoginStatusServerNotFoundHeader|서버 연결 실패
LoginStatusTimeOutContent|서버 연결 시간이 초과되었습니다. 네트워크 상태를 확인 후 다시 시도해 주세요.
LoginStatusTimeOutHeader|연결 시간 초과
LoginStatusUnknownErrorContent|알 수 없는 오류가 발생했습니다. 잠시 후 다시 시도해 주세요.
LoginStatusUnknownErrorHeader|알 수 없는 오류
LogoutButton|로그아웃
MostPopularTab|인기순
MostRecentTab|최신순
MustLogInDisclaimer|커스텀 스토리를 다운로드하려면 로그인하세요.
MustLogInSharedDesignDisclaimer|커스텀 디자인 다운로드를 위해 로그인하세요.
NoneText|없음
